Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
25.92%    app_process      2885  2885  [kernel.kallsyms]                           unknown
13.68%    main             2885  2885  [kernel.kallsyms]                           unknown
12.26%    app_process      2885  2885  /system/bin/linker                          [linker]soinfo::gnu_lookup(SymbolName&, version_info const*, unsigned int*) const
6.11%     am               2885  2885  [kernel.kallsyms]                           unknown
5.18%     Shutdown thread  2885  2885  [kernel.kallsyms]                           unknown
3.79%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::find_symbol_by_name(SymbolName&, version_info const*, elf32_sym const**) const
2.43%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo_do_lookup(soinfo*, char const*, version_info const*, soinfo**, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&, elf32_sym const**)
1.94%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::elf_lookup(SymbolName&, version_info const*, unsigned int*) const
1.83%     app_process      2885  2885  /system/bin/linker                          [linker]strcmp
1.76%     main             2885  2885  unknown                                     unknown
1.13%     app_process      2885  2885  unknown                                     unknown
1.04%     app_process      2885  2885  /system/bin/linker                          [linker].udivsi3_skip_div0_test
0.99%     am               2885  2885  /system/bin/linker                          [linker]soinfo::gnu_lookup(SymbolName&, version_info const*, unsigned int*) const
0.91%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::get_string(unsigned int) const
0.79%     main             2885  2885  /system/framework/arm/boot.oat              unknown
0.65%     am               2885  2885  /system/bin/linker                          [linker]strcmp
0.51%     main             2885  2885  /system/lib/libart.so                       art::InternTable::Table::AddTableFromMemory(unsigned char const*)
0.50%     app_process      2885  2885  /system/bin/linker                          [linker]realpath_fd(int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.49%     app_process      2885  2885  /system/bin/linker                          [linker]SymbolName::elf_hash()
0.48%     am               2885  2885  /system/bin/linker                          [linker]soinfo::elf_lookup(SymbolName&, version_info const*, unsigned int*) const
0.46%     app_process      2885  2885  /system/bin/linker                          [linker]bool soinfo::relocate<packed_reloc_iterator<sleb128_decoder> >(VersionTracker const&, packed_reloc_iterator<sleb128_decoder>&&, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&)
0.44%     main             2885  2885  /system/lib/libart.so                       art::JNI::RegisterNativeMethods(_JNIEnv*, _jclass*, JNINativeMethod const*, int, bool)
0.41%     main             2885  2885  /system/bin/linker                          [linker]soinfo::gnu_lookup(SymbolName&, version_info const*, unsigned int*) const
0.39%     app_process      2885  2885  /system/bin/linker                          [linker]find_loaded_library_by_soname(android_namespace_t*, char const*, soinfo**)
0.32%     app_process      2885  2885  /system/bin/linker                          [linker]memset
0.28%     app_process      2885  2885  /system/bin/linker                          [linker]__aeabi_uidivmod
